time_s,time_rel_s,baro_rel_m,baro_amsl_m,Press,Temp,CRt,east_m,north_m,pos_amsl_m,pos_rel_m,gps_amsl_m,gps_rel_m,baro_rel_cal_m,baro_amsl_cal_m,baro_rel_err_m,baro_amsl_err_m,baro_rel_err_roll_m
250.359484,196.824435,20.51995,77.63995,101438.0,20.07,0.1588559,110.13578254210678,67.28405011277341,77.88,19.869999999999997,75.55,17.059999999999995,19.502534500000003,77.512535,-0.36746549999999445,-0.3674649999999957,-0.1925033
250.459487,196.924438,20.66898,77.78898,101436.2,20.07,-0.1521921,110.13578254210678,67.28405011277341,77.87,19.860000000000007,75.55,17.059999999999995,19.651564500000003,77.661565,-0.20843550000000377,-0.20843500000000859,-0.19403229999999994
250.559952,197.024903,20.75148,77.87148,101435.2,20.08,-0.1937771,110.13578254210678,67.28405011277341,77.88,19.869999999999997,75.6,17.109999999999992,19.734064500000002,77.744065,-0.1359354999999951,-0.13593499999998926,-0.1906644999999999
250.660021,197.124972,20.30171,77.42171,101440.6,20.09,-0.08209015,110.13578254210678,67.29516960556782,77.88,19.869999999999997,75.6,17.109999999999992,19.2842945,77.294295,-0.585705499999996,-0.5857049999999902,-0.20161489999999987
250.760038,197.224989,20.55188,77.67188,101437.6,20.09,-0.223934,110.13578254210678,67.29516960556782,77.88,19.869999999999997,75.61,17.119999999999997,19.534464500000002,77.544465,-0.3355354999999953,-0.33553499999999303,-0.20740209999999984
250.86004,197.324991,20.59446,77.71446,101437.1,20.1,-0.5843236,110.13019529657974,67.29516960556782,77.88,19.869999999999997,75.61,17.119999999999997,19.577044500000003,77.587045,-0.2929554999999944,-0.2929549999999921,-0.21219109999999966
250.959974,197.42492499999997,20.30171,77.42171,101440.6,20.11,-0.4714365,110.13019529657974,67.29516960556782,77.88,19.869999999999997,75.63,17.139999999999993,19.2842945,77.294295,-0.585705499999996,-0.5857049999999902,-0.22193009999999952
251.060003,197.52495399999998,20.3097,77.4297,101440.5,20.12,-0.2170659,110.13019529657974,67.29516960556782,77.88,19.869999999999997,75.63,17.139999999999993,19.2922845,77.302285,-0.5777154999999965,-0.5777149999999978,-0.2294996999999993
251.160012,197.62496299999998,20.61309,77.73309,101436.9,20.12,-0.4260283,110.13019529657974,67.29516960556782,77.88,19.869999999999997,75.65,17.160000000000004,19.5956745,77.605675,-0.2743254999999962,-0.2743249999999904,-0.2352594999999991
251.259962,197.72491300000002,20.74616,77.86616,101435.3,20.12,-0.2315487,110.13578254210678,67.29516960556782,77.88,19.869999999999997,75.65,17.160000000000004,19.7287445,77.738745,-0.1412554999999962,-0.14125500000000102,-0.2346450999999991
251.359996,197.824947,20.15268,77.27267,101442.4,20.13,0.5492537,110.13578254210678,67.30628909836221,77.88,19.869999999999997,75.7,17.21,19.1352645,77.145255,-0.7347354999999958,-0.7347449999999895,-0.2463794999999991
251.459955,197.92490600000002,20.25913,77.37913,101441.1,20.13,0.3907147,110.13578254210678,67.30628909836221,77.88,19.869999999999997,75.7,17.21,19.2417145,77.251715,-0.6282854999999969,-0.6282849999999911,-0.2588590999999992
251.560007,198.02495800000003,20.58914,77.70914,101437.1,20.13,-0.696407,110.14695703296238,67.30628909836221,77.87,19.860000000000007,75.72,17.229999999999997,19.571724500000002,77.581725,-0.28827550000000457,-0.2882749999999987,-0.2623156999999992
251.660036,198.12498699999998,20.54123,77.66123,101437.7,20.14,-0.71877,110.14695703296238,67.30628909836221,77.87,19.860000000000007,75.72,17.229999999999997,19.5238145,77.533815,-0.33618550000000624,-0.3361850000000004,-0.26907249999999927
251.760012,198.224963,20.44809,77.56808,101438.8,20.15,0.3748892,110.15813152401648,67.30628909836221,77.87,19.860000000000007,75.72,17.229999999999997,19.430674500000002,77.440665,-0.42932550000000447,-0.4293350000000089,-0.2754564999999993
251.860062,198.325013,20.57583,77.69583,101437.3,20.15,0.7537988,110.16371876934504,67.30628909836221,77.87,19.860000000000007,75.72,17.229999999999997,19.5584145,77.568415,-0.30158550000000517,-0.3015850000000029,-0.2817342999999993
251.960347,198.425298,20.40817,77.52817,101439.3,20.15,0.2553036,110.16930601487208,67.30628909836221,77.87,19.860000000000007,75.72,17.229999999999997,19.3907545,77.400755,-0.46924550000000664,-0.4692450000000008,-0.2865746999999994
252.059964,198.52491500000002,20.51196,77.63196,101438.1,20.16,-0.09257647,110.18048050572769,67.29516960556782,77.87,19.860000000000007,75.72,17.229999999999997,19.4945445,77.50454500000001,-0.3654555000000066,-0.3654549999999972,-0.29322489999999946
252.159895,198.624846,20.59978,77.71978,101437.0,20.16,-0.09572855,110.19165499678178,67.29516960556782,77.87,19.860000000000007,75.71,17.21999999999999,19.5823645,77.592365,-0.2776355000000059,-0.27763500000000363,-0.29241069999999963
252.260016,198.724967,20.61575,77.73575,101436.8,20.16,0.1130771,110.19724224211032,67.29516960556782,77.87,19.860000000000007,75.71,17.21999999999999,19.5983345,77.608335,-0.26166550000000655,-0.2616650000000078,-0.29367229999999983
252.360096,198.82504699999998,20.66632,77.78632,101436.2,20.18,0.4189921,110.20841673316441,67.28405011277341,77.86,19.85,75.72,17.229999999999997,19.6489045,77.658905,-0.20109550000000098,-0.20109499999999514,-0.29292409999999997
252.459969,198.92492,20.23784,77.35784,101441.3,20.18,0.3782526,110.21400397849295,67.28405011277341,77.86,19.85,75.72,17.229999999999997,19.2204245,77.230425,-0.6295755000000014,-0.6295750000000027,-0.3011582999999999
252.560376,199.025327,20.55454,77.67454,101437.6,20.18,-0.1934599,110.21959122402,67.27293061997902,77.86,19.85,75.74,17.249999999999993,19.5371245,77.547125,-0.31287550000000053,-0.31287500000000534,-0.30486809999999975
252.659939,199.12489,20.55188,77.67188,101437.6,20.19,-0.637382,110.23076571487562,67.27293061997902,77.86,19.85,75.74,17.249999999999993,19.534464500000002,77.544465,-0.3155354999999993,-0.315534999999997,-0.3105874999999997
252.759973,199.224924,20.62906,77.74906,101436.7,20.19,-0.2455352,110.23635296040266,67.26181112718461,77.85,19.839999999999996,75.74,17.249999999999993,19.6116445,77.621645,-0.22835549999999571,-0.22835499999999342,-0.3105180999999995
252.86046,199.32541099999997,20.66365,77.78365,101436.2,20.19,0.458975,110.2419402059297,67.26181112718461,77.85,19.839999999999996,75.74,17.249999999999993,19.646234500000002,77.656235,-0.19376549999999426,-0.19376499999999908,-0.30587149999999935
252.959999,199.42495000000002,20.34696,77.46696,101440.0,20.2,0.5479999,110.2419402059297,67.26181112718461,77.86,19.85,75.76,17.270000000000003,19.3295445,77.339545,-0.5204555000000006,-0.5204549999999983,-0.31068609999999935
253.059996,199.524947,20.29639,77.41639,101440.7,20.2,-0.06805704,110.2419402059297,67.26181112718461,77.86,19.85,75.76,17.270000000000003,19.2789745,77.28897500000001,-0.5710255000000011,-0.5710249999999917,-0.31628629999999947
253.160037,199.62498799999997,20.53059,77.65059,101437.8,20.2,-0.7676387,110.2419402059297,67.26181112718461,77.85,19.839999999999996,75.77,17.279999999999994,19.5131745,77.523175,-0.32682549999999466,-0.3268249999999995,-0.3186928999999992
253.260018,199.724969,20.46139,77.58139,101438.7,20.21,-0.7277489,110.2419402059297,67.26181112718461,77.85,19.839999999999996,75.77,17.279999999999994,19.443974500000003,77.453975,-0.39602549999999326,-0.3960249999999945,-0.32269629999999894
253.360031,199.82498199999998,20.20856,77.32856,101441.7,20.22,-0.09851938,110.2419402059297,67.27293061997902,77.85,19.839999999999996,75.76,17.270000000000003,19.1911445,77.201145,-0.6488554999999963,-0.6488549999999975,-0.33200949999999885
