step,time_rel_s,start_pred_east_m,start_pred_north_m,start_pred_up_m,pred_east_m,pred_north_m,pred_up_m,true_east_m,true_north_m,true_up_m,horizontal_error_m,error_3d_m
20,800.5000000000113,121.26001068366239,33.94136997812914,10.772282815375624,118.93058862595625,41.4475387412449,10.51590792960572,110.16787304954198,67.28119828756088,20.947435292000037,27.27935391148581,29.205819847086598
21,805.5000000000114,118.93058862595625,41.4475387412449,10.51590792960572,116.59122323281868,42.21462492376598,10.1301822558528,110.18606775125473,67.27293061997902,21.080000000000005,25.86396530131974,28.08635273113817
22,810.5000000000115,116.59122323281868,42.21462492376598,10.1301822558528,114.98882720946754,42.63557670058751,9.256029340061131,97.89971915964134,59.78460351236996,21.15,24.210054409890706,26.97393691305285
23,815.5000000000115,114.98882720946754,42.63557670058751,9.256029340061131,67.63493111518798,26.99563329955835,7.465902661198633,56.729176240599934,34.91414044885693,21.119999999999997,13.47732335659027,19.185218763296813
24,820.5000000000116,67.63493111518798,26.99563329955835,7.465902661198633,32.96258594276611,14.856459153167824,7.035011031504168,14.446127943655362,9.359484377815207,21.089999999999996,19.31517404823719,23.887625738407632
25,825.5000000000117,32.96258594276611,14.856459153167824,7.035011031504168,27.17899287414413,9.341660924470602,8.285733010902328,-0.5658035007963811,0.24462883910652344,21.132669847078958,29.19811155963782,31.899427968566577
26,830.5000000000117,27.17899287414413,9.341660924470602,8.285733010902328,39.0352560532762,27.416207050635204,8.969078920298442,-0.4037699701213078,0.3113457950828319,20.949999999999996,47.85509667064701,49.332066116016335
27,835.5000000000118,39.0352560532762,27.416207050635204,8.969078920298442,36.28675226994917,30.559411738692656,9.116565825926605,-0.5054647084773147,0.3810227392073969,14.547267737694348,47.58573728326448,47.89462303898367
28,840.5000000000118,36.28675226994917,30.559411738692656,9.116565825926605,27.558168890076217,35.527113651941974,2.122013907875499,-0.43730637167355,0.3002263022884325,10.353434397793434,44.996446831682434,45.74315807591628
29,845.5000000000119,27.558168890076217,35.527113651941974,2.122013907875499,17.713999520775396,35.5417596066538,1.432719912663137,-0.4540804043982621,0.26686782390523445,7.7862533246277685,39.678673345414666,40.18413250611578
30,850.500000000012,17.713999520775396,35.5417596066538,1.432719912663137,7.456622264583361,40.09086203811281,0.3411009613236813,-0.4454653226594143,0.25574833190092255,5.3262618342380454,40.61131950852233,40.916147193401805
31,855.500000000012,7.456622264583361,40.09086203811281,0.3411009613236813,-1.2641670488259997,43.15597465197065,-1.004871645520159,-0.4637413733855283,0.3002263022884325,2.8662401260579444,42.86322255586011,43.03767366181919
